Open,High,Low,Close,Volume,PreviousType
1.04958,1.04963,1.04958,1.04962,22,0
1.04958,1.04964,1.04958,1.04963,27,0
1.04958,1.04964,1.04958,1.04961,32,0
1.04958,1.04964,1.04958,1.0496,37,0
1.04958,1.04964,1.04958,1.04964,42,0
1.04958,1.04969,1.04958,1.04966,47,0
1.04958,1.04969,1.04958,1.04961,52,0
1.04958,1.04969,1.04958,1.04963,57,0
1.04958,1.04969,1.04958,1.04963,62,0
1.04958,1.04969,1.04954,1.04959,2,0
1.04959,1.0496,1.04952,1.04956,7,1
1.04959,1.0496,1.04952,1.04961,12,0
1.04959,1.04965,1.04952,1.04968,17,0
1.04959,1.04969,1.04952,1.0497,22,0
1.04959,1.04971,1.04952,1.04965,27,0
1.04959,1.04971,1.04952,1.04962,32,0
1.04959,1.04971,1.04952,1.04965,37,0
1.04959,1.04971,1.04952,1.04972,42,0
1.04959,1.04972,1.04952,1.04966,47,0
1.04959,1.04972,1.04952,1.04974,52,0
1.04959,1.04975,1.04952,1.04972,57,0
1.04975,1.04975,1.04966,1.04967,5,1
1.04975,1.04975,1.04966,1.04967,10,1
1.04975,1.04975,1.04966,1.04968,15,1
1.04975,1.04975,1.04966,1.0497,20,1
1.04975,1.04975,1.04966,1.04971,25,1
1.04975,1.04975,1.04966,1.04975,32,0
1.04975,1.04975,1.04966,1.04972,37,1
1.04975,1.04975,1.04966,1.04971,42,1
1.04975,1.04975,1.04964,1.04966,47,1
1.04975,1.04975,1.04964,1.04967,52,1
1.04975,1.04975,1.04964,1.04965,57,1
1.04975,1.04975,1.04964,1.04968,62,1
1.04975,1.04975,1.04964,1.04972,67,1
1.04975,1.04975,1.04964,1.04975,72,0
1.04975,1.04975,1.04964,1.0498,77,0
1.04975,1.0498,1.04964,1.04978,82,0
1.04975,1.0498,1.04976,1.04977,3,0
1.04976,1.0498,1.04976,1.04976,8,0
1.04976,1.0498,1.04971,1.04973,13,1
1.04976,1.0498,1.04971,1.04974,18,1
1.04976,1.0498,1.04971,1.0497,23,1
